Page,Bid Number,Detail URL,Items,Quantity,Department,Start Date,End Date
1,GEM/2025/B/6478013,https://bidplus.gem.gov.in/showbidDocument/8117972,"Title-1 MS ANGLE 25X25X5 MM,Ti...",14336,Urban Development and Town and Country Planning Department West Bengal,28-11-2025 2:00 AM,29-11-2025 9:00 AM
1,GEM/2025/B/6755341,https://bidplus.gem.gov.in/showbidDocument/8433342,"FOOTBALL TOURNAMENT NIVIA,FOOT...",1394,"Ministry of Defence
Department of Military Affairs",28-11-2025 1:00 AM,29-11-2025 9:00 AM
1,GEM/2025/B/6759683,https://bidplus.gem.gov.in/showbidDocument/8438543,,14,"Ministry of Defence
Department of Military Affairs",27-11-2025 11:00 PM,29-11-2025 9:00 AM
1,GEM/2025/B/6805465,https://bidplus.gem.gov.in/showbidDocument/8490300,"Bisoprolol 2.5 mg Tab,Clobazam...",66000,"Ministry of Defence
Department of Military Affairs",27-11-2025 11:00 PM,29-11-2025 9:00 AM
1,GEM/2025/B/6819052,https://bidplus.gem.gov.in/showbidDocument/8505926,Event or Seminar or Workshop o...,1,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
1,GEM/2025/B/6719790,https://bidplus.gem.gov.in/showbidDocument/8392562,"SERVER HPE 385 1O TH GEN,hp wo...",7,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
1,GEM/2025/B/6883937,https://bidplus.gem.gov.in/showbidDocument/8580365,,9250,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
1,GEM/2025/B/6748284,https://bidplus.gem.gov.in/showbidDocument/8425051,Entry and Mid Level Desktop Co...,33,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
1,GEM/2025/B/6477421,https://bidplus.gem.gov.in/showbidDocument/8117295,"LED Data Wall Display Screen,V...",5,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
1,GEM/2025/B/6887313,https://bidplus.gem.gov.in/showbidDocument/8584204,Tentage Service - Normal Panda...,12000,Home Department Gujarat,27-11-2025 10:00 PM,29-11-2025 9:00 AM
2,GEM/2025/B/6872062,https://bidplus.gem.gov.in/showbidDocument/8566931,,1,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
2,GEM/2025/B/6596169,https://bidplus.gem.gov.in/showbidDocument/8251706,,1,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
2,GEM/2025/B/6764431,https://bidplus.gem.gov.in/showbidDocument/8443816,,12000,Home Department Jammu and Kashmir,27-11-2025 10:00 PM,29-11-2025 9:00 AM
2,GEM/2025/B/6825271,https://bidplus.gem.gov.in/showbidDocument/8513040,"Split or Cotter Pin,Split or C...",2884,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
2,GEM/2025/B/6764399,https://bidplus.gem.gov.in/showbidDocument/8443781,Petroleum Coke (V2) Confirming...,60000,Home Department Jammu and Kashmir,27-11-2025 10:00 PM,29-11-2025 9:00 AM
2,GEM/2025/B/6761666,https://bidplus.gem.gov.in/showbidDocument/8440780,Stainless steel crowns for per...,602,"Ministry of Defence
Department of Military Affairs",27-11-2025 10:00 PM,29-11-2025 9:00 AM
2,GEM/2025/B/6498755,https://bidplus.gem.gov.in/showbidDocument/8141279,"PVC Wall Paneling,cubical for ...",877,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
2,GEM/2025/B/6879224,https://bidplus.gem.gov.in/showbidDocument/8575091,,218,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
2,GEM/2025/B/6399040,https://bidplus.gem.gov.in/showbidDocument/8028563,Carbon Fiber Propeller 130 CM ...,2,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
2,GEM/2025/B/6825448,https://bidplus.gem.gov.in/showbidDocument/8513242,Lidocaine Lignocaine HCL 2 P w...,3067,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6790955,https://bidplus.gem.gov.in/showbidDocument/8474134,"OFC Fig8 12 Core,Layer 2 Switc...",5024,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6864219,https://bidplus.gem.gov.in/showbidDocument/8557898,Custom Bid for Services - 9980...,1,Urban Development Department Uttar Pradesh,27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6919342,https://bidplus.gem.gov.in/showbidDocument/8620483,Repair and Overhauling Service...,1,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6610074,https://bidplus.gem.gov.in/showbidDocument/8267705,"Spectrum Processing, Recording...",1,"PMO
Department of Atomic Energy",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6825358,https://bidplus.gem.gov.in/showbidDocument/8513140,Lignocaine hcl 2 percentage wi...,3436,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6817987,https://bidplus.gem.gov.in/showbidDocument/8504716,"CGI Sheet 8 feet,Aggregate 20m...",15127,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6865553,https://bidplus.gem.gov.in/showbidDocument/8559401,Custom Bid for Services - 8673...,1,Urban Development Department Uttar Pradesh,27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6845506,https://bidplus.gem.gov.in/showbidDocument/8536250,Supply of Spares of 65 HP Dies...,59,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6875283,https://bidplus.gem.gov.in/showbidDocument/8570661,"B White Scarlet,C Comb S,Comb ...",108,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
3,GEM/2025/B/6868722,https://bidplus.gem.gov.in/showbidDocument/8562984,"Valve Relay,Universal Joint,Ho...",336,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
4,GEM/2025/B/6859019,https://bidplus.gem.gov.in/showbidDocument/8551842,"Mirror LH RH,Fd Coil,Switch,Re...",841,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
4,GEM/2025/B/6868950,https://bidplus.gem.gov.in/showbidDocument/8563246,"Coverr Assy,Clutch Disc,Air Co...",1954,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
4,GEM/2025/B/6852827,https://bidplus.gem.gov.in/showbidDocument/8544852,"Fuel Shut,Injector,Pump Hand,F...",381,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
4,GEM/2025/B/6882113,https://bidplus.gem.gov.in/showbidDocument/8578283,"Twist Morse,Manila Hawserld,M ...",874,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
4,GEM/2025/B/6734223,https://bidplus.gem.gov.in/showbidDocument/8408823,Lignocaine Hcl 2 with Adrenali...,820341,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,29-11-2025 9:00 AM
4,GEM/2025/B/6447338,https://bidplus.gem.gov.in/showbidDocument/8082913,"Server,Entry and Mid Level Des...",624,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
4,GEM/2025/B/6447317,https://bidplus.gem.gov.in/showbidDocument/8082881,"KVM Switch,Layer 2 Access Swit...",3,"Ministry of Defence
Department of Military Affairs",27-11-2025 9:00 PM,28-11-2025 9:00 PM
4,GEM/2025/B/6864976,https://bidplus.gem.gov.in/showbidDocument/8558749,,60,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
4,GEM/2025/B/6735056,https://bidplus.gem.gov.in/showbidDocument/8409790,52 seater bus for picnic from ...,160,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
4,GEM/2025/B/6707346,https://bidplus.gem.gov.in/showbidDocument/8378179,"All in One PC (V2),Entry and M...",6,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6881675,https://bidplus.gem.gov.in/showbidDocument/8577798,"Pants,Mens Casual Shirt,Kurtis...",5984,Skill Development and Technical Education Department. Odisha,27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6090923,https://bidplus.gem.gov.in/showbidDocument/7684763,,380,Urban Development Department Uttar Pradesh,27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6848418,https://bidplus.gem.gov.in/showbidDocument/8539666,"Readymade Eosin Solution,Perio...",4836,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6732585,https://bidplus.gem.gov.in/showbidDocument/8406972,LED Luminaire for Road and Str...,740,Urban Development Department Uttar Pradesh,27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6879082,https://bidplus.gem.gov.in/showbidDocument/8574935,,183,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6852704,https://bidplus.gem.gov.in/showbidDocument/8544702,Changing of Existing Main Wiri...,1,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6870447,https://bidplus.gem.gov.in/showbidDocument/8564955,,34000,Revenue Department Uttar Pradesh,27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6878968,https://bidplus.gem.gov.in/showbidDocument/8574809,,29350,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6741531,https://bidplus.gem.gov.in/showbidDocument/8417383,,1,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
5,GEM/2025/B/6570591,https://bidplus.gem.gov.in/showbidDocument/8222433,,2,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
6,GEM/2025/B/6870447,https://bidplus.gem.gov.in/showbidDocument/8564955,,34000,Revenue Department Uttar Pradesh,27-11-2025 8:00 PM,28-11-2025 8:00 PM
6,GEM/2025/B/6878968,https://bidplus.gem.gov.in/showbidDocument/8574809,,29350,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
6,GEM/2025/B/6741531,https://bidplus.gem.gov.in/showbidDocument/8417383,,1,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
6,GEM/2025/B/6570591,https://bidplus.gem.gov.in/showbidDocument/8222433,,2,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,28-11-2025 8:00 PM
6,GEM/2025/B/6865846,https://bidplus.gem.gov.in/showbidDocument/8559734,Goods Transport Service – Per ...,37000,"Ministry of Defence
Department of Military Affairs",27-11-2025 8:00 PM,29-11-2025 9:00 AM
